Company_name,Company_type,Job_role,Experience_level,Total_Round,Round_no,Round_type,Topics,Difficulty_level
Google,Product,ML Engineer,Fresher,5,1,Online Assessment,SQL,Easy
Google,Product,ML Engineer,Fresher,5,1,Online Assessment,Java,Medium
Google,Product,ML Engineer,Fresher,5,1,Online Assessment,Python,Medium
Google,Product,ML Engineer,Fresher,5,2,Technical Interview,Operating System,Medium
Google,Product,ML Engineer,Fresher,5,2,Technical Interview,Computer Networks,Medium
Google,Product,ML Engineer,Fresher,5,3,Technical Interview,Data Structures & Algorithms,Hard
Google,Product,ML Engineer,Fresher,5,3,Technical Interview,Operating System,Hard
Google,Product,ML Engineer,Fresher,5,4,System Design Interview,System Design,Hard
Google,Product,ML Engineer,Fresher,5,4,System Design Interview,DBMS,Medium
Google,Product,ML Engineer,Fresher,5,5,Hr Interview,Resume Discussion,Medium
Google,Product,ML Engineer,Fresher,5,5,Hr Interview,Behavioral Questions,Easy
Google,Product,Product Manager,1 Year,5,1,Technical Interview,CI/CD,Medium
Google,Product,Product Manager,1 Year,5,1,Technical Interview,Computer Networks,Medium
Google,Product,Product Manager,1 Year,5,1,Technical Interview,Operating System,Medium
Google,Product,Product Manager,1 Year,5,2,Technical Interview,Machine Learning,Hard
Google,Product,Product Manager,1 Year,5,2,Technical Interview,Dynamic Programming,Hard
Google,Product,Product Manager,1 Year,5,2,Technical Interview,Data Structures & Algorithms,Medium
Google,Product,Product Manager,1 Year,5,3,System Design Interview,System Design,Hard
Google,Product,Product Manager,1 Year,5,4,Managerial Interview,Team & Leadership,Easy
Google,Product,Product Manager,1 Year,5,5,Hr Interview,Self Assessment,Medium
Google,Product,Product Manager,1 Year,5,5,Hr Interview,Behavioral Questions,Hard
Google,Product,Full Stack Engineer,Fresher,5,1,Online Assessment,Aptitude & Reasoning,Medium
Google,Product,Full Stack Engineer,Fresher,5,1,Online Assessment,Java,Medium
Google,Product,Full Stack Engineer,Fresher,5,2,Technical Interview,System Design,Hard
Google,Product,Full Stack Engineer,Fresher,5,2,Technical Interview,NoSQL,Hard
Google,Product,Full Stack Engineer,Fresher,5,2,Technical Interview,Deep Learning,Easy
Google,Product,Full Stack Engineer,Fresher,5,3,Technical Interview,DBMS,Hard
Google,Product,Full Stack Engineer,Fresher,5,3,Technical Interview,C++,Medium
Google,Product,Full Stack Engineer,Fresher,5,3,Technical Interview,Operating System,Medium
Google,Product,Full Stack Engineer,Fresher,5,4,System Design Interview,System Design,Medium
Google,Product,Full Stack Engineer,Fresher,5,5,Hr Interview,Resume Discussion,Medium
Google,Product,Full Stack Engineer,Fresher,5,5,Hr Interview,Behavioral Questions,Medium
Microsoft,Product,DevOps Engineer,Fresher,4,1,Online Assessment,Python,Medium
Microsoft,Product,DevOps Engineer,Fresher,4,1,Online Assessment,Data Structures & Algorithms,Medium
Microsoft,Product,DevOps Engineer,Fresher,4,1,Online Assessment,SQL,Medium
Microsoft,Product,DevOps Engineer,Fresher,4,2,Technical Interview,DBMS,Medium
Microsoft,Product,DevOps Engineer,Fresher,4,2,Technical Interview,Data Structures & Algorithms,Medium
Microsoft,Product,DevOps Engineer,Fresher,4,2,Technical Interview,Python,Hard
Microsoft,Product,DevOps Engineer,Fresher,4,3,Technical Interview,Machine Learning,Hard
Microsoft,Product,DevOps Engineer,Fresher,4,3,Technical Interview,Computer Networks,Medium
Microsoft,Product,DevOps Engineer,Fresher,4,3,Technical Interview,Node.js,Medium
Microsoft,Product,DevOps Engineer,Fresher,4,4,Hr Interview,Behavioral Questions,Easy
Microsoft,Product,DevOps Engineer,Fresher,4,4,Hr Interview,Team & Leadership,Medium
Microsoft,Product,ML Engineer,1 Year,5,1,Technical Interview,DBMS,Medium
Microsoft,Product,ML Engineer,1 Year,5,1,Technical Interview,C++,Easy
Microsoft,Product,ML Engineer,1 Year,5,1,Technical Interview,ETL Concepts,Medium
Microsoft,Product,ML Engineer,1 Year,5,2,Technical Interview,Data Structures & Algorithms,Hard
Microsoft,Product,ML Engineer,1 Year,5,2,Technical Interview,Machine Learning,Easy
Microsoft,Product,ML Engineer,1 Year,5,3,System Design Interview,DBMS,Hard
Microsoft,Product,ML Engineer,1 Year,5,3,System Design Interview,System Design,Hard
Microsoft,Product,ML Engineer,1 Year,5,4,Managerial Interview,Team & Leadership,Easy
Microsoft,Product,ML Engineer,1 Year,5,4,Managerial Interview,Project Discussion,Easy
Microsoft,Product,ML Engineer,1 Year,5,5,Hr Interview,Resume Discussion,Hard
Microsoft,Product,ML Engineer,1 Year,5,5,Hr Interview,Career Goals,Medium
Amazon,Product,ML Engineer,2 Years,5,1,Technical Interview,DBMS,Medium
Amazon,Product,ML Engineer,2 Years,5,1,Technical Interview,Data Structures & Algorithms,Medium
Amazon,Product,ML Engineer,2 Years,5,1,Technical Interview,Operating System,Medium
Amazon,Product,ML Engineer,2 Years,5,2,Technical Interview,Data Structures & Algorithms,Medium
Amazon,Product,ML Engineer,2 Years,5,2,Technical Interview,Operating System,Hard
Amazon,Product,ML Engineer,2 Years,5,3,System Design Interview,System Design,Medium
Amazon,Product,ML Engineer,2 Years,5,3,System Design Interview,DBMS,Hard
Amazon,Product,ML Engineer,2 Years,5,4,Managerial Interview,Team & Leadership,Medium
Amazon,Product,ML Engineer,2 Years,5,4,Managerial Interview,Project Discussion,Hard
Amazon,Product,ML Engineer,2 Years,5,5,Hr Interview,Team & Leadership,Easy
Amazon,Product,ML Engineer,2 Years,5,5,Hr Interview,Behavioral Questions,Easy
Amazon,Product,AI Engineer,1 Year,5,1,Technical Interview,Machine Learning,Medium
Amazon,Product,AI Engineer,1 Year,5,1,Technical Interview,Data Structures & Algorithms,Medium
Amazon,Product,AI Engineer,1 Year,5,1,Technical Interview,Operating System,Hard
Amazon,Product,AI Engineer,1 Year,5,2,Technical Interview,Data Modeling,Medium
Amazon,Product,AI Engineer,1 Year,5,2,Technical Interview,REST APIs,Hard
Amazon,Product,AI Engineer,1 Year,5,2,Technical Interview,Statistics,Hard
Amazon,Product,AI Engineer,1 Year,5,3,System Design Interview,System Design,Hard
Amazon,Product,AI Engineer,1 Year,5,4,Managerial Interview,Team & Leadership,Medium
Amazon,Product,AI Engineer,1 Year,5,4,Managerial Interview,Project Discussion,Medium
Amazon,Product,AI Engineer,1 Year,5,5,Hr Interview,Behavioral Questions,Easy
Amazon,Product,AI Engineer,1 Year,5,5,Hr Interview,Self Assessment,Easy
Amazon,Product,SDE-2,1 Year,5,1,Technical Interview,DBMS,Easy
Amazon,Product,SDE-2,1 Year,5,1,Technical Interview,Dynamic Programming,Medium
Amazon,Product,SDE-2,1 Year,5,1,Technical Interview,CI/CD,Hard
Amazon,Product,SDE-2,1 Year,5,2,Technical Interview,System Design,Hard
Amazon,Product,SDE-2,1 Year,5,2,Technical Interview,Operating System,Hard
Amazon,Product,SDE-2,1 Year,5,2,Technical Interview,Java,Hard
Amazon,Product,SDE-2,1 Year,5,3,System Design Interview,System Design,Hard
Amazon,Product,SDE-2,1 Year,5,4,Managerial Interview,Team & Leadership,Medium
Amazon,Product,SDE-2,1 Year,5,4,Managerial Interview,Project Discussion,Medium
Amazon,Product,SDE-2,1 Year,5,5,Hr Interview,Team & Leadership,Medium
Meta,Product,ML Engineer,Fresher,5,1,Online Assessment,Aptitude & Reasoning,Hard
Meta,Product,ML Engineer,Fresher,5,1,Online Assessment,SQL,Easy
Meta,Product,ML Engineer,Fresher,5,2,Technical Interview,Operating System,Medium
Meta,Product,ML Engineer,Fresher,5,2,Technical Interview,Spring Boot,Medium
Meta,Product,ML Engineer,Fresher,5,2,Technical Interview,Java,Medium
Meta,Product,ML Engineer,Fresher,5,3,Technical Interview,DBMS,Easy
Meta,Product,ML Engineer,Fresher,5,3,Technical Interview,Spring Boot,Hard
Meta,Product,ML Engineer,Fresher,5,3,Technical Interview,Operating System,Hard
Meta,Product,ML Engineer,Fresher,5,4,System Design Interview,System Design,Hard
Meta,Product,ML Engineer,Fresher,5,5,Hr Interview,Behavioral Questions,Easy
Meta,Product,ML Engineer,Fresher,5,5,Hr Interview,Team & Leadership,Easy
Meta,Product,iOS Engineer,Fresher,4,1,Online Assessment,Data Structures & Algorithms,Hard
Meta,Product,iOS Engineer,Fresher,4,1,Online Assessment,Aptitude & Reasoning,Easy
Meta,Product,iOS Engineer,Fresher,4,1,Online Assessment,Data Structures & Algorithms,Medium
Meta,Product,iOS Engineer,Fresher,4,2,Technical Interview,Data Structures & Algorithms,Hard
Meta,Product,iOS Engineer,Fresher,4,2,Technical Interview,Cloud Computing,Hard
Meta,Product,iOS Engineer,Fresher,4,2,Technical Interview,Node.js,Hard
Meta,Product,iOS Engineer,Fresher,4,3,Technical Interview,NoSQL,Medium
Meta,Product,iOS Engineer,Fresher,4,3,Technical Interview,Statistics,Medium
Meta,Product,iOS Engineer,Fresher,4,3,Technical Interview,Data Structures & Algorithms,Hard
Meta,Product,iOS Engineer,Fresher,4,4,Hr Interview,Self Assessment,Easy
Meta,Product,iOS Engineer,Fresher,4,4,Hr Interview,Team & Leadership,Easy
Meta,Product,SDE-2,5 Years,5,1,Technical Interview,Data Structures & Algorithms,Medium
Meta,Product,SDE-2,5 Years,5,2,Technical Interview,SQL,Easy
Meta,Product,SDE-2,5 Years,5,2,Technical Interview,DBMS,Hard
Meta,Product,SDE-2,5 Years,5,2,Technical Interview,Operating System,Medium
